Partita 1
"Giocatore_14, Rango 0"
"Giocatore_25, Rango 0"
"Giocatore_35, Rango 0"
"Giocatore_45, Rango 0"
"Giocatore_55, Rango 0"
"Giocatore_65, Rango 0"
"Giocatore_75, Rango 0"
"Giocatore_85, Rango 0"
"Giocatore_95, Rango 0"
"Giocatore_5, Rango 1"
Partita 2
"Giocatore_15, Rango 1"
"Giocatore_26, Rango 1"
"Giocatore_36, Rango 1"
"Giocatore_46, Rango 1"
"Giocatore_56, Rango 1"
"Giocatore_66, Rango 1"
"Giocatore_76, Rango 1"
"Giocatore_86, Rango 1"
"Giocatore_96, Rango 1"
"Giocatore_4, Rango 2"
Partita 3
"Giocatore_6, Rango 2"
"Giocatore_16, Rango 2"
"Giocatore_27, Rango 2"
"Giocatore_37, Rango 2"
"Giocatore_47, Rango 2"
"Giocatore_57, Rango 2"
"Giocatore_67, Rango 2"
"Giocatore_77, Rango 2"
"Giocatore_87, Rango 2"
"Giocatore_97, Rango 2"
Partita 4
"Giocatore_3, Rango 3"
"Giocatore_7, Rango 3"
"Giocatore_17, Rango 3"
"Giocatore_28, Rango 3"
"Giocatore_38, Rango 3"
"Giocatore_48, Rango 3"
"Giocatore_58, Rango 3"
"Giocatore_68, Rango 3"
"Giocatore_78, Rango 3"
"Giocatore_88, Rango 3"
Partita 5
"Giocatore_98, Rango 3"
"Giocatore_0, Rango 4"
"Giocatore_2, Rango 4"
"Giocatore_8, Rango 4"
"Giocatore_18, Rango 4"
"Giocatore_29, Rango 4"
"Giocatore_39, Rango 4"
"Giocatore_49, Rango 4"
"Giocatore_59, Rango 4"
"Giocatore_69, Rango 4"
Partita 6
"Giocatore_79, Rango 4"
"Giocatore_89, Rango 4"
"Giocatore_99, Rango 4"
"Giocatore_1, Rango 5"
"Giocatore_9, Rango 5"
"Giocatore_19, Rango 5"
"Giocatore_30, Rango 5"
"Giocatore_40, Rango 5"
"Giocatore_50, Rango 5"
"Giocatore_60, Rango 5"
Partita 7
"Giocatore_70, Rango 5"
"Giocatore_80, Rango 5"
"Giocatore_90, Rango 5"
"Giocatore_10, Rango 6"
"Giocatore_20, Rango 6"
"Giocatore_31, Rango 6"
"Giocatore_41, Rango 6"
"Giocatore_51, Rango 6"
"Giocatore_61, Rango 6"
"Giocatore_71, Rango 6"
Partita 8
"Giocatore_81, Rango 6"
"Giocatore_91, Rango 6"
"Giocatore_11, Rango 7"
"Giocatore_21, Rango 7"
"Giocatore_32, Rango 7"
"Giocatore_42, Rango 7"
"Giocatore_52, Rango 7"
"Giocatore_62, Rango 7"
"Giocatore_72, Rango 7"
"Giocatore_82, Rango 7"
Partita 9
"Giocatore_92, Rango 7"
"Giocatore_12, Rango 8"
"Giocatore_22, Rango 8"
"Giocatore_23, Rango 8"
"Giocatore_33, Rango 8"
"Giocatore_43, Rango 8"
"Giocatore_53, Rango 8"
"Giocatore_63, Rango 8"
"Giocatore_73, Rango 8"
"Giocatore_83, Rango 8"
Partita 10
"Giocatore_93, Rango 8"
"Giocatore_13, Rango 9"
"Giocatore_24, Rango 9"
"Giocatore_34, Rango 9"
"Giocatore_44, Rango 9"
"Giocatore_54, Rango 9"
"Giocatore_64, Rango 9"
"Giocatore_74, Rango 9"
"Giocatore_84, Rango 9"
"Giocatore_94, Rango 9"
